Anglican Nonconformist
dislodge lodge
disloyal loyal
disloyally loyally
disloyalty loyalty
disobedience obedience
disobedient obedient
disobediently obediently
disobey obey
disoblige oblige
disorder order
disordered ordered
disorderliness orderliness
disorderly orderly
disorganise organise
disorganize organize
disorganized organized
disorient orient
disorienting orienting
disparage flatter
dispensability indispensability
dispensable indispensable
dispensableness indispensableness
displease please
displeased pleased
displeasing pleasing
disposable nondisposable
dispose indispose
disproportion proportion
disproportionate proportionate
disproportionately proportionately
disprove prove
disqualify qualify
disreputability reputability
disreputable reputable
disreputably reputably
disrepute repute
disrespect respect
disrespectful respectful
disrespectfully respectfully
dissatisfaction satisfaction
dissatisfy satisfy
dissent assent
disservice service
dissimilar similar
dissimilarity similarity
dissimilate assimilate
dissimilitude similitude
dissociate associate
dissonance harmony
dissuade persuade
dissuasion persuasion
dissuasive persuasive
distal mesial
distal proximal
distant close
distinct indistinct
distinctness indistinctness
distinguishable indistinguishable
distributary tributary
distributed concentrated
distribution concentration
distributive collective
distrust trust
distrustful trustful
distrustfully trustfully
disunify unify
disunion union
diurnal nocturnal
diverge converge
divergence convergence
divergency convergency
divergent convergent
divergent_thinking convergent_thinking
diversified undiversified
diversify specialise
diversify specialize
divest invest
divide multiply
divide unite
divided united
diving_duck dabbling_duck
divisible indivisible
docile stubborn
dock undock
doctrine_of_analogy apophatism
doctrine_of_analogy cataphatism
documented undocumented
dolichocephalic brachycephalic
domestic foreign
domestic undomestic
domestic_flight international_flight
dominant recessive
dominant subordinate
domineering submissive
dormant active
dorsal ventral
double single
double-barreled single-barreled
double-breasted single-breasted
dove hawk
dovishness hawkishness
down up
downgrade upgrade
download upload
downmarket upmarket
downriver upriver
downstage upstage
downstairs upstairs
downstream upstream
downtick uptick
downtime uptime
downtown uptown
downward upward
downwardly upwardly
downwards upwards
downwind upwind
draftee volunteer
drained undrained
dramatic lyric
dramatic undramatic
dramatically undramatically
dress undress
dress_down dress_up
dress_up dress_down
drinkable undrinkable
drinker nondrinker
driver nondriver
drop_out enter
drunkenness soberness
dry phlegmy
dry sweet
dry wet
dry-bulb_thermometer wet-bulb_thermometer
dry_fly wet_fly
dry_season rainy_season
dryness wetness
due undue
dull bright
dull lively
dull sharp
dull sharpen
dullness brightness
dullness sharpness
dumb_bomb smart_bomb
dying nascent
dynamic undynamic
dysgenic eugenic
dysgenics eugenics
dysphemism euphemism
dysphemistic euphemistic
dysphoria euphoria
dysphoric euphoric
dystopia utopia
dystopian utopian
e-mail snail_mail
eager uneager
eared earless
earless eared
earliness lateness
early late
early middle
earned unearned
earned_run unearned_run
earthly heavenly
ease difficulty
east west
easterly westerly
eastern western
easy difficult
easy uneasy
easy_money tight_money
eat_in eat_out
eat_out eat_in
eating_apple cooking_apple
ebb tide
ebbtide flood_tide
ebracteate bracteate
eccentric concentric
eccentricity concentricity
eccrine apocrine
ecdemic endemic
ecdemic epidemic
echoic nonechoic
ectomorphic endomorphic
ectomorphic mesomorphic
edible inedible
edifying unedifying
educated uneducated
effective ineffective
effectively ineffectively
effectiveness ineffectiveness
effector receptor
effectually ineffectually
efferent afferent
effervescent noneffervescent
efficacious inefficacious
efficaciously inefficaciously
efficacy inefficacy
efficiency inefficiency
efficient inefficient
efficiently inefficiently
efflux influx
effortful effortless
effortfulness effortlessness
effortless effortful
effortlessness effortfulness
egalitarian elitist
egoism altruism
egoistic altruistic
egress ingress
elastic inelastic
elasticity inelasticity
elate depress
elated dejected
elation depression
elective appointive
electrolytic_cell voltaic_cell
electronic_mail snail_mail
elegance inelegance
elegant inelegant
elegantly inelegantly
eligibility ineligibility
eligible ineligible
elitist egalitarian
eloquently ineloquently
email snail_mail
embark disembark
embarkation disembarkation
embarrassment disembarrassment
emersion immersion
emigrate immigrate
emit absorb
emmetropic ametropic
emotional cerebral
emotional unemotional
emotional_person unemotional_person
emotionality unemotionality
emotionally unemotionally
empirical theoretical
empirically theoretically
employable unemployable
employed unemployed
employee employer
employer employee
employment unemployment
emptiness fullness
empty fill
empty full
emulsify demulsify
enable disable
enabling disabling
enchant disenchant
enchanted disenchanted
enclosed unenclosed
encode decode
encourage discourage
encouragement discouragement
encouraging discouraging
encouragingly discouragingly
encumbered unencumbered
end begin
end beginning
end middle
end-stopped run-on
endemic cosmopolitan
endemic ecdemic
endemic epidemic
endergonic exergonic
ending beginning
endocentric exocentric
endocrine exocrine
endoergic exoergic
endogamous autogamous
endogamous exogamous
endogamy exogamy
endogenic exogenic
endogenous exogenous
endomorphic ectomorphic
endomorphic mesomorphic
endothermic exothermic
endotoxin exotoxin
endowed unendowed
energetic lethargic
energise de-energise
energize de-energize
enforce exempt
enforceable unenforceable
enforced unenforced
enfranchise disenfranchise
enfranchised disenfranchised
enfranchisement disenfranchisement
engage disengage
engagement non-engagement
enjoy suffer
enlightened unenlightened
enlightening unenlightening
enlightenment unenlightenment
enlist discharge
enliven deaden
enlivened unenlivened
enrich deprive
enrich impoverish
entangle disentangle
enter drop_out
enter exit
enterprising unenterprising
enthrone dethrone
enthusiastic unenthusiastic
enthusiastically unenthusiastically
entomophilous anemophilous
entozoic epizoic
environmentalism hereditarianism
epidemic ecdemic
epidemic endemic
epizoic entozoic
equal differ
equal unequal
equality inequality
equally unequally
equatorial polar
equilibrium disequilibrium
equipped unequipped
equitable inequitable
equitably inequitably
equity inequity
equivalence nonequivalence
equivocal unequivocal
equivocalness unequivocalness
eradicable ineradicable
erase record
erect unerect
eremite cenobite
eremitic cenobitic
errancy inerrancy
escalate de-escalate
esoteric exoteric
essential inessential
essentiality inessentiality
establish abolish
established unestablished
esteem disesteem
estimable contemptible
estivate hibernate
estrous anestrous
estrus anestrus
ethical unethical
ethically unethically
eucaryotic procaryotic
eudemon cacodemon
eugenic dysgenic
eugenics dysgenics
eukaryote prokaryote
eukaryotic prokaryotic
euphemism dysphemism
euphemistic dysphemistic
euphonious cacophonous
euphoria dysphoria
euphoric dysphoric
eusporangiate leptosporangiate
even odd
even uneven
even-toed_ungulate odd-toed_ungulate
evenly unevenly
evenness unevenness
eventful uneventful
ever never
evergreen deciduous
evergreen_plant deciduous_plant
evil good
evilness goodness
evitable inevitable
evolution devolution
exact inexact
exactly inexactly
exactness inexactness
exaugural inaugural
exchangeability unexchangeability
exchangeable unexchangeable
excitable unexcitable
excited unexcited
exciting unexciting
excitingly unexcitingly
exclude admit
exclude include
exclusion inclusion
exclusive inclusive
excommunicate communicate
exculpatory inculpatory
excusable inexcusable
excusably inexcusably
exempt enforce
exempt nonexempt
exergonic endergonic
exhale inhale
exhausted unexhausted
exhaustible inexhaustible
existence nonexistence
existent nonexistent
exit enter
exocentric endocentric
exocrine endocrine
exoergic endoergic
exogamous autogamous
exogamous endogamous
exogamy endogamy
exogenic endogenic
exogenous endogenous
exon intron
exoteric esoteric
exothermic endothermic
exotoxin endotoxin
expand contract
expanded contracted
expansion contraction
expansive unexpansive
expatriate repatriate
expected unexpected
expectedness unexpectedness
expedience inexpedience
expediency inexpediency
expedient inexpedient
expediently inexpediently
expendable unexpendable
expensive cheap
expensively cheaply
expensiveness inexpensiveness
experience inexperience
experienced inexperienced
expert_witness lay_witness
expertly amateurishly
expired unexpired
explicable inexplicable
explicit implicit
explicitly implicitly
explicitness inexplicitness
explode implode
exploited unexploited
exploratory nonexploratory
explosive nonexplosive
export import
exportable unexportable
express local
expressible inexpressible
expressively inexpressively
extant extinct
extended unextended
extensile nonextensile
extension flexion
extensive intensive
extensor flexor
exterior interior
external internal
externally internally
extinct active
extinct extant
extinguish ignite
extinguishable inextinguishable
extracellular intracellular
extramural intramural
extraordinariness ordinariness
extraordinary ordinary
extrasensory sensory
extraterritorial territorial
extraversion ambiversion
extraversion introversion
extricable inextricable
extrinsic intrinsic
extrospective introspective
extroversive ambiversive
extroversive introversive
extrovert introvert
extrusive intrusive
eyed eyeless
eyeless eyed
faced faceless
faceless faced
faceted unfaceted
factory-made homemade
factuality counterfactuality
facultative obligate
fail manage
fail pass
fail succeed
failing passing
failure success
faintheartedness stoutheartedness
fair foul
fair unfair
fair_ball foul_ball
fairly unfairly
fairness unfairness
faithful unfaithful
faithfully unfaithfully
faithfulness unfaithfulness
fall rise
fall_asleep wake_up
fall_back gain
fall_short_of satisfy
fallibility infallibility
fallible infallible
falling rising
false true
falsehood truth
falsify correct
falsity truth
fame infamy
familiar strange
familiar unfamiliar
familiarity unfamiliarity
fancy plain
far near
farness nearness
farsighted nearsighted
fashionable unfashionable
fashionably unfashionably
fast slow
fast_lane slow_lane
fast_reactor thermal_reactor
fasten unfasten
fastened unfastened
fastidious unfastidious
fat thin
fat_person thin_person
fatal nonfatal
father mother
fathomable unfathomable
fatness leanness
fatty nonfat
fauna flora
favorable unfavorable
favorableness unfavorableness
favorably unfavorably
fear fearlessness
fearfully fearlessly
fearfulness fearlessness
fearlessly fearfully
fearlessness fear
fearlessness fearfulness
feasibility infeasibility
feathered unfeathered
febrile afebrile
federal unitary
feed starve
feelingly unfeelingly
felicitous infelicitous
felicitously infelicitously
felicity infelicity
female androgynous
female male
female_aristocrat male_aristocrat
female_child male_child
female_monarch male_monarch
female_offspring male_offspring
female_parent male_parent
female_sibling male_sibling
femaleness maleness
feminine masculine
feminine neuter
femininity masculinity
ferned fernless
fernless ferned
fertile sterile
fertility infertility
few many
fewer more
fewest most
fictional nonfictional
fidelity infidelity
figurative literal
figuratively literally
figure ground
file_in file_out
file_out file_in
filial parental
fill empty
filled unfilled
financial nonfinancial
find lose
fine coarse
finely coarsely
fingered fingerless
fingerless fingered
finish start
finished unfinished
finite infinite
finitely infinitely
finiteness infiniteness
fire hire
first last
first second
fissile nonfissile
fissionable nonfissionable
fit unfit
fitness unfitness
fixed unfixed
fixed-width_font proportional_font
fixedness looseness
flash-forward flashback
flashback flash-forward
flat contrasty
flat natural
flat sharp
flatten sharpen
flatter disparage
flattering unflattering
fledged unfledged
flexibility inflexibility
flexible inflexible
flexibly inflexibly
flexion extension
flexor extensor
float sink
flood_tide ebbtide
floored ceilinged
flora fauna
flowering flowerless
flowerless flowering
fluency disfluency
focus blur
focused unfocused
foe friend
fold unfold
follow precede
follower leader
following leading
folly wisdom
foolish wise
foolishly wisely
foot head
footed footless
footless footed
forbid permit
forceful forceless
forceless forceful
fore aft
foreground background
forehand backhand
foreign domestic
foreign native
foreignness nativeness
forfeit claim
forget mind
forget remember
forgettable unforgettable
forgivably unforgivably
forgiving unforgiving
forgivingly unforgivingly
formal informal
formalism imitation
formality informality
formally informally
formed unformed
former latter
forte piano
fortissimo pianissimo
fortunate unfortunate
fortunately unfortunately
forward backward
forward reverse
fossorial cursorial
foul fair
foul_ball fair_ball
found lost
fractional whole
fragrant malodorous
frail robust
framed unframed
fraternal identical
free bound
free confine
free obstruct
free unfree
free_state slave_state
freelance salaried
freeze boil
freeze unfreeze
frequent infrequent
frequently infrequently
fresh preserved
fresh salty
fresh stale
fresh_water saltwater
freshness staleness
fretted unfretted
friend foe
friendliness unfriendliness
friendly hostile
friendly unfriendly
frivolity seriousness
frivolous serious
front back
front rear
front_burner back_burner
frozen unfrozen
fruitful unfruitful
fruitfully fruitlessly
fruitfulness fruitlessness
fruitlessly fruitfully
fruitlessness fruitfulness
fueled unfueled
full empty
full thin
full-term premature
full-time half-time
full-time part-time
fullness emptiness
function malfunction
functional nonfunctional
functional organic
functional_disorder organic_disorder
functioning malfunctioning
funded unfunded
furnished unfurnished
furrowed unfurrowed
fuse defuse
future past
future present
futurity pastness
futurity presentness
gabled hipped
gain fall_back
gain loss
gain reduce
gaseous liquid
gaseous solid
gather spread
gathered ungathered
geared ungeared
general local
general particular
general specific
general_agent special_agent
general_verdict special_verdict
generalist specialist
generality particularity
generalize specify
generally specifically
generative consumptive
generic varietal
generic_drug brand-name_drug
generic_wine varietal_wine
generosity stinginess
generous stingy
generous ungenerous
genuine counterfeit
genuineness spuriousness
geocentric heliocentric
geographic magnetic
geometrically linearly
germfree germy
germy germfree
get_off get_on
get_on get_off
get_up go_to_bed
get_well get_worse
get_worse get_well
girl boy
give take
glad sad
gladden sadden
glazed unglazed
glorious inglorious
gloved gloveless
gloveless gloved
gluttonous abstemious
glycerolize deglycerolize
gnostic agnostic
go come
go no-go
go_off go_on
go_on go_off
go_out come_in
go_to_bed get_up
godliness ungodliness
good bad
good evil
good-natured ill-natured
good_egg bad_egg
good_fortune misfortune
good_guy bad_guy
good_health ill_health
good_humor ill_humor
good_luck bad_luck
good_nature ill_nature
good_part weak_part
good_person bad_person
good_weather bad_weather
goodness badness
goodness evilness
graceful awkward
gracefully gracelessly
gracefully ungracefully
gracefulness awkwardness
gracelessly gracefully
gracious ungracious
graciously ungraciously
graciousness ungraciousness
gradual steep
gradual sudden
gradualness abruptness
grammatical ungrammatical
grammatically ungrammatically
grand_larceny petit_larceny
granter withholder
grassless grassy
grassy grassless
grateful ungrateful
gratefully ungratefully
gratitude ingratitude
gravitation levitation
gravity levity
greater lesser
green ripe
greenness ripeness
gregarious ungregarious
groomed ungroomed
gross net
ground figure
ground_stroke volley
grudgingly ungrudgingly
guided unguided
guilt innocence
guilty innocent
gusseted ungusseted
gutless gutsy
gutlessness gutsiness
gutsiness gutlessness
gutsy gutless
hairiness hairlessness
hairless hairy
hairlessness hairiness
hairy hairless
half whole
half-time full-time
hand_mower power_mower
handed handless
handled handleless
handleless handled
handless handed
handmade machine-made
handwash machine_wash
haploid diploid
haploid polyploid
happily sadly
happily unhappily
happiness sadness
happiness unhappiness
happy unhappy
hard soft
hard_drug soft_drug
hard_water soft_water
hardball softball
harden soften
hardened soft
hardhearted softhearted
hardness softness
hardware software
harmful harmless
harmfully harmlessly
harmless harmful
harmlessly harmfully
harmonic nonharmonic
harmonious inharmonious
harmony dissonance
harness unharness
hate love
hateful lovable
hatless hatted
hatted hatless
have lack
hawk dove
hawkishness dovishness
head foot
head rear
head tail
headed headless
headed unheaded
headless headed
healthful unhealthful
healthfulness unhealthfulness
healthy unhealthy
hearing deaf
hearten dishearten
heat cool
heavenly earthly
heavily lightly
heaviness lightness
heavy light
heavy-duty light-duty
heavy-footed light-footed
heedful heedless
heedfulness heedlessness
heedless heedful
heedlessness heedfulness
heir_apparent heir_presumptive
heir_presumptive heir_apparent
heliocentric geocentric
helpful unhelpful
helpfully unhelpfully
herbivorous carnivorous
herbivorous insectivorous
herbivorous omnivorous
here there
hereditarianism environmentalism
hereness thereness
hesitantly unhesitatingly
heterocercal homocercal
heterocercal_fin homocercal_fin
heterodactyl zygodactyl
heterodactyl_foot zygodactyl_foot
heteroecious autoecious
heterogeneity homogeneity
heterogeneous homogeneous
heterogenous autogenous
heterologous analogous
heterologous autologous
heterologous homologous
heterosexual bisexual
heterosexual homosexual
heterotrophic autotrophic
heterozygosity homozygosity
heterozygous homozygous
heuristic algorithmic
hibernate aestivate
hibernate estivate
hide show
hierarchical nonhierarchical
high low
high low_spirits
high-interest low-interest
high-resolution low-resolution
high-rise low-rise
high-sudsing low-sudsing
high-tech low-tech
high-tension low-tension
high_explosive low_explosive
high_pitch low_pitch
high_quality low_quality
high_relief low_relief
high_sea territorial_waters
high_season off-season
high_status low_status
high_tide low_tide
highland lowland
highness lowness
hipless hipped
hipped gabled
hipped hipless
hire fire
historical ahistorical
hit miss
hitch unhitch
hold let_go_of
holiness unholiness
holism atomism
holistic atomistic
hollow solid
hollowness solidity
holophytic holozoic
holozoic holophytic
holy unholy
home away
home_game away_game
homemade factory-made
homeopathic allopathic
homeopathy allopathy
homocercal heterocercal
homocercal_fin heterocercal_fin
homogeneity heterogeneity
homogeneous heterogeneous
homogenise curdle
homogenize curdle
homologous analogous
homologous autologous
homologous heterologous
homosexual bisexual
homosexual heterosexual
homozygosity heterozygosity
homozygous heterozygous
honest dishonest
honestly dishonestly
honesty dishonesty
honor dishonor
honorable dishonorable
honorableness dishonorableness
honorably dishonorably
hook unhook
hop_on hop_out
hop_out hop_on
hope despair
hopeful hopeless
hopefully hopelessly
hopefulness hopelessness
hopeless hopeful
hopelessly hopefully
hopelessness hopefulness
horizontal inclined
horizontal vertical
horned hornless
hornless horned
hospitable inhospitable
hospitableness inhospitableness
hospitably inhospitably
hospitality inhospitality
host parasite
hostile amicable
hostile friendly
hot cold
hot_war cold_war
hotness coldness
human nonhuman
humane inhumane
humanely inhumanely
humaneness inhumaneness
humanize dehumanize
humble proud
humidify dehumidify
humility conceit
humility pride
humorless humorous
humorlessly humorously
humorous humorless
humorously humorlessly
hungry thirsty
hurried unhurried
hurriedly unhurriedly
husband wife
husbandly wifely
hydrate dehydrate
hydric mesic
hydric xeric
hydrogenate dehydrogenate
hydrokinetic hydrostatic
hydrophilic hydrophobic
hydrophobic hydrophilic
hydrostatic hydrokinetic
hydrous anhydrous
hygienically unhygienically
hypercalcemia hypocalcemia
hypercapnia hypocapnia
hypercatalectic acatalectic
hypercatalectic catalectic
hyperglycemia hypoglycemia
hyperkalemia hypokalemia
hypernatremia hyponatremia
hyperopia myopia
hyperparathyroidism hypoparathyroidism
hyperpigmentation hypopigmentation
hyperpnea hypopnea
hypersomnia insomnia
hypertension hypotension
hypertensive hypotensive
hypertensive normotensive
hyperthermia hypothermia
hyperthyroidism hypothyroidism
hypertonia hypotonia
hypertonic hypotonic
hypertonic isotonic
hypertonicity hypotonicity
hypertonus hypotonus
hypertrophied atrophied
hypervolemia hypovolemia
hypocalcemia hypercalcemia
hypocapnia hypercapnia
hypoglycemia hyperglycemia
hypokalemia hyperkalemia
hyponatremia hypernatremia
hypoparathyroidism hyperparathyroidism
hypopigmentation hyperpigmentation
hypopnea hyperpnea
hypotension hypertension
hypotensive hypertensive
hypotensive normotensive
hypothermia hyperthermia
hypothyroidism hyperthyroidism
hypotonia hypertonia
hypotonic hypertonic
hypotonic isotonic
hypotonicity hypertonicity
hypotonus hypertonus
hypovolemia hypervolemia
identical fraternal
identifiable unidentifiable
idiographic nomothetic
idle busy
idle run
idle work
igneous aqueous
ignite extinguish
ignoble noble
ignore know
ignore notice
ill well
ill-advised well-advised
ill-being well-being
ill-defined well-defined
ill-natured good-natured
ill_health good_health
ill_humor good_humor
ill_nature good_nature
illegal legal
illegality legality
illegibility legibility
illegible legible
illegibly legibly
illegitimacy legitimacy
illegitimate legitimate
illegitimately legitimately
illiberality liberality
illicit licit
illicitly licitly
illicitness licitness
illiteracy literacy
illiterate literate
illness wellness
illogical logical
illogicality logicality
illogically logically
illogicalness logicalness
imaginatively unimaginatively
imbalance balance
imitation formalism
imitative nonimitative
immanent transeunt
immaterial material
immateriality materiality
immature mature
immaturely maturely
immaturity maturity
immeasurable measurable
immeasurably measurably
immediacy mediacy
immediate mediate
immersion emersion
immigrate emigrate
immiscible miscible
immobile mobile
immobility mobility
immoderate moderate
immoderately moderately
immoderation moderation
immodest modest
immodestly modestly
immodesty modesty
immoral moral
immorality morality
immorally morally
immortal mortal
immortality mortality
immotility motility
immovability movability
immovableness movableness
immunocompetence immunodeficiency
immunocompetent immunodeficient
immunodeficiency immunocompetence
immunodeficient immunocompetent
immutability mutability
immutable mutable
immutableness mutableness
impaired unimpaired
impalpability palpability
impalpable palpable
impartial partial
impartiality partiality
impassable passable
impatience patience
impatient patient
impatiently patiently
impenetrability penetrability
impenetrable penetrable
impenitent penitent
impenitently penitently
imperative beseeching
imperceptibility perceptibility
imperceptible perceptible
imperceptibly perceptibly
imperfect perfect
imperfectibility perfectibility
imperfection perfection
imperfectly perfectly
imperishable perishable
impermanence permanence
impermanent permanent
impermeability permeability
impermeable permeable
impermissibility permissibility
impermissible permissible
impermissibly permissibly
impersonal personal
impersonally personally
impervious pervious
imperviousness perviousness
impiety piety
impious pious
implacable placable
implausibility plausibility
implausible plausible
implicit explicit
implicitly explicitly
implode explode
impolite polite
impolitely politely
impoliteness politeness
impolitic politic
imponderable ponderable
import export
importance unimportance
important unimportant
impossibility possibility
impossible possible
impossibly possibly
impotence potence
impotency potency
impotent potent
impoverish enrich
impracticability practicability
impracticableness practicableness
impractical practical
impracticality practicality
imprecise precise
imprecisely precisely
impreciseness preciseness
imprecision precision
impressionable unimpressionable
impressive unimpressive
impressively unimpressively
improbability probability
improbable probable
improper proper
improperly properly
improperness properness
impropriety propriety
improved unimproved
improvement decline
improvidence providence
improvident provident
improvidently providently
imprudence prudence
imprudent prudent
imprudently prudently
impure pure
impurity purity
in-basket out-basket
in_hand out_of_hand
in_vitro in_vivo
in_vivo in_vitro
inability ability
inaccessibility accessibility
inaccessible accessible
inaccuracy accuracy
inaccurate accurate
inaccurately accurately
inaction action
inactivate activate
inactivation activation
inactive active
inactiveness activeness
inactivity activity
inadequacy adequacy
inadequate adequate
inadequately adequately
inadmissibility admissibility
inadmissible admissible
inadvertently advertently
inadvisability advisability
inadvisable advisable
inaesthetic aesthetic
inalienable alienable
inanimate animate
inanimateness animateness
inapplicability applicability
inappositeness appositeness
inappropriate appropriate
inappropriately appropriately
inappropriateness appropriateness
inaptitude aptitude
inaptness aptness
inarticulate articulate
inarticulately articulately
inattention attention
inattentive attentive
inattentiveness attentiveness
inaudibility audibility
inaudible audible
inaudibly audibly
inaugural exaugural
inauspicious auspicious
inauspiciously auspiciously
inauspiciousness auspiciousness
inboard outboard
inbred outbred
incalculable calculable
incapability capability
incapable capable
incapableness capableness
incapacity capacity
incarnate disincarnate
incaution caution
incautious cautious
incautiously cautiously
incentive disincentive
incidental basic
incivility civility
inclement clement
inclination disinclination
inclined disinclined
inclined horizontal
inclined vertical
include exclude
inclusion exclusion
inclusive exclusive
incognizance cognizance
incoherence coherence
incoherent coherent
incoherently coherently
income outgo
incoming outgoing
incommensurate commensurate
incommodious commodious
incommutable commutable
incomparable comparable
incomparably comparably
incompatibility compatibility
incompatible compatible
incompatibly compatibly
incompetence competence
incompetent competent
incompetently competently
incomplete complete
incompleteness completeness
incomprehensibility comprehensibility
incomprehensible comprehensible
incomprehension comprehension
incompressibility compressibility
incompressible compressible
inconclusive conclusive
inconclusively conclusively
inconclusiveness conclusiveness
incongruent congruent
incongruity congruity
incongruous congruous
incongruousness congruousness
inconsequence consequence
inconsequentially consequentially
inconsiderable considerable
inconsiderate considerate
inconsiderately considerately
inconsideration consideration
inconsistency consistency
inconsistent consistent
inconsistently consistently
inconsolable consolable
inconspicuous conspicuous
inconspicuously conspicuously
inconspicuousness conspicuousness
inconstancy constancy
inconstant constant
incontestable contestable
incontinent continent
inconvenience convenience
inconvenient convenient
inconveniently conveniently
inconvertibility convertibility
inconvertible convertible
incoordination coordination
incorporeal corporeal
incorporeality corporeality
incorrect correct
incorrectly correctly
incorrectness correctness
incorrigible corrigible
incorrupt corrupt
incorruptibility corruptibility
incorruptness corruptness
increase decrease
increased decreased
increasing decreasing
incredibility credibility
incredible credible
incredibly credibly
incredulous credulous
incredulously credulously
increment decrement
inculpatory exculpatory
incurability curability
incurable curable
incurableness curableness
incurious curious
indecency decency
indecent decent
indecently decently
indecision decision
indecisive decisive
indecisively decisively
indecisiveness decisiveness
indecorous decorous
indecorously decorously
indecorousness decorousness
indecorum decorum
indefeasible defeasible
indefinite definite
indehiscent dehiscent
independent dependent
indestructibility destructibility
indestructible destructible
indeterminable determinable
indeterminate determinate
indicate contraindicate
indication contraindication
indigestibility digestibility
indigestible digestible
indirect direct
indirect_discourse direct_discourse
indirectly directly
indirectness directness
indiscernible discernible
indiscipline discipline
indiscreet discreet
indiscreetly discreetly
indiscriminate discriminate
indispensability dispensability
indispensable dispensable
indispensableness dispensableness
indispose dispose
indistinct distinct
indistinctness distinctness
indistinguishable distinguishable
individual common
individuality commonality
indivisible divisible
indoor outdoor
indoors outdoors
induced spontaneous
inductive deductive
indulgent nonindulgent
industrial nonindustrial
inedible edible
ineffective effective
ineffectively effectively
ineffectiveness effectiveness
ineffectually effectually
inefficacious efficacious
inefficaciously efficaciously
inefficacy efficacy
inefficiency efficiency
inefficient efficient
inefficiently efficiently
inelastic elastic
inelasticity elasticity
inelegance elegance
inelegant elegant
inelegantly elegantly
ineligibility eligibility
ineligible eligible
ineloquently eloquently
inequality equality
inequitable equitable
inequitably equitably
inequity equity
ineradicable eradicable
inerrancy errancy
inessential essential
inessentiality essentiality
inevitable evitable
inexact exact
inexactly exactly
inexactness exactness
inexcusable excusable
inexcusably excusably
inexhaustible exhaustible
inexpedience expedience
inexpediency expediency
inexpedient expedient
inexpediently expediently
inexpensiveness expensiveness
inexperience experience
inexperienced experienced
inexplicable explicable
inexplicitness explicitness
inexpressible expressible
inexpressively expressively
inextinguishable extinguishable
inextricable extricable
infallibility fallibility
infallible fallible
infamy fame
infeasibility feasibility
infect disinfect
infectious noninfectious
infelicitous felicitous
infelicitously felicitously
infelicity felicity
inferior superior
inferiority superiority
infernal supernal
infertility fertility
infidelity fidelity
infield outfield
infinite finite
infinitely finitely
infiniteness finiteness
inflate deflate
inflation deflation
inflation disinflation
inflationary deflationary
inflationary_spiral deflationary_spiral
inflected uninflected
inflectional derivational
inflexibility flexibility
inflexible flexible
inflexibly flexibly
inflow outflow
influential uninfluential
influx efflux
informal formal
informality formality
informally formally
informative uninformative
informatively uninformatively
informed uninformed
infrequent frequent
infrequently frequently
ingenuous disingenuous
ingenuousness disingenuousness
inglorious glorious
ingratitude gratitude
ingress egress
inhabited uninhabited
inhale exhale
inharmonious harmonious
inheritable noninheritable
inhibited uninhibited
inhibitor activator
inhospitable hospitable
inhospitableness hospitableness
inhospitably hospitably
inhospitality hospitality
inhumane humane
inhumanely humanely
inhumaneness humaneness
initiate uninitiate
injectable uninjectable
injudiciously judiciously
injudiciousness judiciousness
injured uninjured
injustice justice
inland coastal
inner outer
innocence guilt
innocent guilty
innocuous noxious
innumerate numerate
inoffensive offensive
inoffensively offensively
inoperable operable
inoperative operative
inopportune opportune
inopportunely opportunely
inopportuneness opportuneness
inorganic organic
inorganically organically
inpatient outpatient
inquiring uninquiring
inquisitorial accusatorial
insalubriousness salubriousness
insalubrity salubrity
insane sane
insanely sanely
insanity sanity
insatiate satiate
insectivorous carnivorous
insectivorous herbivorous
insectivorous omnivorous
insecure secure
insecurely securely
insecureness secureness
insecurity security
insensibility sensibility
insensible sensible
insensitive sensitive
insensitively sensitively
insensitiveness sensitiveness
insensitivity sensitivity
insentience sentience
insentient sentient
inseparably separably
inshore offshore
inside outside
insignificance significance
insignificant significant
insignificantly significantly
insincere sincere
insincerely sincerely
insincerity sincerity
insolubility solubility
insoluble soluble
insolvency solvency
insolvent solvent
insomnia hypersomnia
inspan outspan
inspiring uninspiring
instability stability
institutional noninstitutional
institutionalized noninstitutionalized
instructive uninstructive
instructively uninstructively
instrumental vocal
insubordinate subordinate
insubordination subordination
insubstantial substantial
insubstantiality substantiality
insufficiency sufficiency
insufficient sufficient
insufficiently sufficiently
insulator conductor
insurability uninsurability
insured uninsured
insurmountable surmountable
intangibility tangibility
intangible tangible
integrate differentiate
integrate disintegrate
integrated nonintegrated
integrated segregated
integration segregation
integrative disintegrative
intellectual nonintellectual
intelligence stupidity
intelligent unintelligent
intelligently unintelligently
intelligibility unintelligibility
intelligible unintelligible
intelligibly unintelligibly
intemperance temperance
intemperate temperate
intended unintended
intense mild
intensifying moderating
intensive extensive
intentionally unintentionally
intercontinental continental
interdepartmental intradepartmental
interest bore
interested uninterested
interesting uninteresting
interestingly uninterestingly
interestingness uninterestingness
interference noninterference
interior exterior
intermediate terminal
internal external
internally externally
international national
international_flight domestic_flight
international_law civil_law
international_waters territorial_waters
internationalism nationalism
interrogative declarative
interrogatory declaratory
interspecies intraspecies
interstate intrastate
intervention nonintervention
intestate testate
intolerable tolerable
intolerably tolerably
intolerance tolerance
intolerant tolerant
intolerantly tolerantly
intoxicated sober
intra_vires ultra_vires
intracellular extracellular
intractability tractability
intractable tractable
intradepartmental interdepartmental
intramural extramural
intransitive transitive
intransitively transitively
